Wall time,Step,Value
1716583743.385041,19,213.76943969726562
1716583792.0838897,48,204.288330078125
1716583817.0578084,63,194.45733642578125
1716583818.7051852,64,165.544921875
1716583832.1565907,72,208.4591522216797
1716583842.2157638,78,196.40521240234375
1716583850.7816117,83,211.08468627929688
1716583862.5730875,90,206.3832244873047
1716583886.2640693,104,226.83914184570312
1716583893.2146387,108,216.48802185058594
1716583928.9969463,129,380.1666259765625
1716583932.369094,131,370.5563049316406
1716583978.4427128,158,297.0531005859375
1716583983.5413392,161,387.55328369140625
1716583990.3063798,165,419.00921630859375
1716584004.0406232,173,393.13201904296875
1716584036.6839983,192,270.55645751953125
1716584057.2343283,204,251.24420166015625
1716584102.0425622,230,142.8241729736328
1716584154.1049979,245,263.8674621582031
1716584155.6528616,246,254.5543670654297
1716584178.1690953,260,267.9310302734375
1716584196.951003,272,267.39239501953125
1716584201.685691,275,266.7391662597656
1716584214.0964572,283,269.0556335449219
1716584218.852359,286,267.0850830078125
1716584234.668849,296,267.1405944824219
1716584268.3202457,317,268.2375793457031
1716584273.0731792,320,266.27593994140625
1716584317.3546205,347,264.393310546875
1716584336.5691879,359,265.1045837402344
1716584349.1624687,367,267.88525390625
1716584368.1339347,379,262.20263671875
1716584380.8520079,387,258.5018310546875
1716584387.3184543,391,258.9309997558594
1716584406.6340237,403,255.53335571289062
1716584427.623289,416,244.5230255126953
1716584461.7207274,437,225.6652069091797
1716584463.4050267,438,225.49571228027344
1716584466.5746849,440,237.3015594482422
1716584477.957706,447,224.2908935546875
1716584502.3473406,462,242.3829803466797
1716584508.8113487,466,255.1936798095703
1716584551.6942108,476,254.12210083007812
1716584559.8245718,481,255.08026123046875
1716584561.6676884,482,250.08070373535156
1716584571.5864038,488,256.6314392089844
1716584609.0244267,511,248.49696350097656
1716584612.2195554,513,264.52886962890625
1716584613.7922971,514,260.0135192871094
1716584646.1353521,534,258.0923767089844
1716584654.1850133,539,256.9868469238281
1716584657.3714232,541,243.69163513183594
1716584676.4434922,553,249.359375
1716584682.9003003,557,240.75437927246094
1716584692.6849887,563,244.4749755859375
1716584738.159268,591,247.20346069335938
1716584744.5908368,595,254.92221069335938
1716584747.7422018,597,257.1092834472656
1716584801.4869928,630,238.845458984375
1716584814.4280217,638,242.60289001464844
1716584824.1277485,644,245.4141387939453
1716584825.807063,645,253.0286102294922
1716584848.7040899,659,256.8961181640625
1716584863.6815486,668,263.7969055175781
1716584876.7435193,676,261.9273681640625
1716584978.974122,722,267.36920166015625
1716584985.4576283,726,267.1891174316406
