Wall time,Step,Value
1716358398.116176,232,0.9989635944366455
1716358786.319943,465,0.841601550579071
1716359174.7952046,698,0.7998149991035461
1716359563.2729344,931,0.7570475935935974
1716359951.77613,1164,0.7333025932312012
1716360340.2102745,1397,0.7178245186805725
1716360728.6722405,1630,0.7252904772758484
1716361117.1348405,1863,0.7039627432823181
1716361505.7095375,2096,0.7003937363624573
1716361894.265005,2329,0.6845431923866272
1716362282.901274,2562,0.6762165427207947
1716362671.4807713,2795,0.6691978573799133
1716363059.924496,3028,0.6650851964950562
1716363448.4784608,3261,0.6537928581237793
1716363837.0351593,3494,0.6540340185165405
1716364225.6114225,3727,0.6453096866607666
1716364613.9872344,3960,0.6400978565216064
1716365002.5027592,4193,0.6410439014434814
1716365390.9111438,4426,0.6310592293739319
1716365779.2979505,4659,0.6232950091362
1716366167.6589797,4892,0.626357913017273
1716366555.972553,5125,0.6243942975997925
1716366944.3090105,5358,0.623114824295044
1716367332.3853714,5591,0.616169810295105
1716367720.2197206,5824,0.5999632477760315
1716368108.1659937,6057,0.6090001463890076
1716368496.0988567,6290,0.6032229661941528
1716368883.987456,6523,0.5875630378723145
1716369271.9205906,6756,0.5974255800247192
1716369659.8466003,6989,0.5927159786224365
1716370048.8504949,7222,0.591335654258728
1716370437.0211532,7455,0.5915310382843018
1716370825.2588637,7688,0.595136284828186
1716371213.5865333,7921,0.5814216732978821
1716371601.8573594,8154,0.5813695788383484
1716371990.0674531,8387,0.5853205323219299
1716372378.2446969,8620,0.5750942826271057
1716372766.5376182,8853,0.5807675719261169
1716373154.6224556,9086,0.5651713013648987
1716373542.7516067,9319,0.5604285001754761
1716373930.826153,9552,0.560235321521759
1716374318.8333335,9785,0.5486008524894714
1716374706.9767506,10018,0.5567976236343384
1716375095.0664132,10251,0.5589146018028259
1716375483.1601994,10484,0.550857663154602
1716375871.3996313,10717,0.5757930874824524
1716376259.569624,10950,0.5393499732017517
1716376647.7760475,11183,0.53481125831604
1716377035.9655588,11416,0.5371379256248474
1716377424.2397254,11649,0.534123420715332
