Wall time,Step,Value
1716583743.385041,19,212.4957733154297
1716583792.0838897,48,203.45652770996094
1716583817.0578084,63,193.5296630859375
1716583818.7051852,64,164.62539672851562
1716583832.1565907,72,207.65322875976562
1716583842.2157638,78,195.502685546875
1716583850.7816117,83,210.3349609375
1716583862.5730875,90,205.5603790283203
1716583886.2640693,104,226.1063232421875
1716583893.2146387,108,215.7618865966797
1716583928.9969463,129,379.3787536621094
1716583932.369094,131,369.80694580078125
1716583978.4427128,158,296.27655029296875
1716583983.5413392,161,386.7196044921875
1716583990.3063798,165,417.9580993652344
1716584004.0406232,173,391.97369384765625
1716584036.6839983,192,269.2979736328125
1716584057.2343283,204,249.86021423339844
1716584102.0425622,230,141.7240447998047
1716584154.1049979,245,261.94000244140625
1716584155.6528616,246,253.07977294921875
1716584178.1690953,260,266.7496337890625
1716584196.951003,272,266.35986328125
1716584201.685691,275,265.803955078125
1716584214.0964572,283,267.8020324707031
1716584218.852359,286,266.0167236328125
1716584234.668849,296,266.1484680175781
1716584268.3202457,317,267.3521728515625
1716584273.0731792,320,265.4652404785156
1716584317.3546205,347,263.6055908203125
1716584336.5691879,359,264.22540283203125
1716584349.1624687,367,267.11602783203125
1716584368.1339347,379,261.4459228515625
1716584380.8520079,387,257.69866943359375
1716584387.3184543,391,258.15869140625
1716584406.6340237,403,254.72494506835938
1716584427.623289,416,243.8109588623047
1716584461.7207274,437,224.95333862304688
1716584463.4050267,438,224.76080322265625
1716584466.5746849,440,236.5896759033203
1716584477.957706,447,223.54006958007812
1716584502.3473406,462,241.6456298828125
1716584508.8113487,466,254.47207641601562
1716584551.6942108,476,253.46170043945312
1716584559.8245718,481,254.29812622070312
1716584561.6676884,482,249.40017700195312
1716584571.5864038,488,255.8888397216797
1716584609.0244267,511,247.7681121826172
1716584612.2195554,513,263.80816650390625
1716584613.7922971,514,259.177001953125
1716584646.1353521,534,257.44775390625
1716584654.1850133,539,256.2703857421875
1716584657.3714232,541,243.04014587402344
1716584676.4434922,553,248.4755401611328
1716584682.9003003,557,240.10858154296875
1716584692.6849887,563,243.75631713867188
1716584738.159268,591,246.5283203125
1716584744.5908368,595,254.21847534179688
1716584747.7422018,597,256.3768310546875
1716584801.4869928,630,238.2594757080078
1716584814.4280217,638,241.95489501953125
1716584824.1277485,644,244.80010986328125
1716584825.807063,645,252.31581115722656
1716584848.7040899,659,256.29766845703125
1716584863.6815486,668,263.1665954589844
1716584876.7435193,676,261.25006103515625
1716584978.974122,722,266.766357421875
1716584985.4576283,726,266.4864196777344
1716585016.5161245,745,267.1072998046875
1716585049.1917567,765,266.3721008300781
1716585067.0669289,776,266.51593017578125
1716585068.6601672,777,264.77484130859375
1716585078.3724036,783,266.591796875
1716585088.4598925,789,268.0308532714844
1716585114.6514716,805,265.7040710449219
1716585139.8629317,820,266.83685302734375
1716585161.0321574,833,266.31146240234375
1716585202.4141207,858,266.0052795410156
1716585217.3984125,867,265.7637634277344
1716585250.4903212,887,266.61822509765625
1716585275.263082,902,266.96246337890625
1716585323.392881,931,266.458740234375
1716585369.9811313,943,266.58099365234375
1716585381.8089762,950,266.75750732421875
1716585465.3313057,1000,267.0566711425781
1716585470.450361,1003,266.2590637207031
1716585473.7459133,1005,266.27008056640625
1716585492.0633388,1016,267.78369140625
1716585503.690418,1023,267.383056640625
1716585510.2685835,1027,266.20361328125
1716585513.7632127,1029,265.1869812011719
1716585528.926675,1038,266.41156005859375
1716585560.7050192,1057,266.0570068359375
1716585584.2307875,1071,266.32073974609375
1716585585.9448013,1072,266.8922119140625
1716585596.1710587,1078,266.2467041015625
1716585631.4661431,1099,265.0539855957031
1716585641.7837243,1105,267.10736083984375
1716585650.2080162,1110,266.4066162109375
1716585653.4681835,1112,266.77044677734375
1716585677.168875,1126,266.9867248535156
1716585688.9506764,1133,266.69964599609375
1716585712.6529646,1147,267.32916259765625
1716585720.9985445,1152,265.9054260253906
1716585722.626678,1153,266.35418701171875
1716585742.9927928,1165,266.4063720703125
1716585786.9452531,1175,265.74554443359375
1716585790.234882,1177,266.0315246582031
1716585803.512461,1185,267.310791015625
1716585818.5798185,1194,266.45989990234375
1716585820.253046,1195,265.96875
1716585861.2941728,1219,267.290771484375
1716585873.5131388,1226,266.2005615234375
1716585908.9143872,1247,266.81439208984375
1716585917.676506,1252,266.9169921875
1716585919.310603,1253,266.28875732421875
1716585922.6900492,1255,266.1177978515625
1716585927.7369995,1258,267.1545715332031
1716585934.413852,1262,266.15869140625
1716585944.5866115,1268,266.1439514160156
1716585951.3079016,1272,266.89739990234375
1716585959.796897,1277,267.64959716796875
1716585997.4084444,1299,267.4197998046875
1716586043.800509,1326,266.94024658203125
1716586078.2417822,1346,267.0584716796875
1716586103.9022925,1361,266.73919677734375
1716586110.833677,1365,267.000244140625
1716586129.8031363,1376,266.86920166015625
